system:time_start,constant_max,constant_mean,constant_min
"Mar 29, 2017",0.773,0.335,0.057
"Apr 8, 2017",0.512,0.299,-0.009
"Apr 18, 2017",0.872,0.322,0.048
"Apr 21, 2017",,,
"Apr 21, 2017",,,
"Apr 28, 2017",,,
"Apr 28, 2017",,,
"May 1, 2017",0.902,0.288,0.008
"May 1, 2017",0.907,0.289,-0.034
"May 8, 2017",115.333,0.471,-168.81
"May 8, 2017",638.333,0.621,-242.667
"May 11, 2017",1.081,0.2,0.02
"May 11, 2017",1.077,0.198,0.031
"May 21, 2017",0.468,0.298,0
"May 21, 2017",0.48,0.298,0.002
"May 28, 2017",0.678,0.319,0.018
"May 28, 2017",0.69,0.321,0.02
"Jun 7, 2017",57.464,0.318,"-1,007.5"
"Jun 7, 2017",467.778,0.464,-271.333
"Jun 10, 2017",,,
"Jun 10, 2017",,,
"Jun 17, 2017",,,
"Jun 17, 2017",,,
"Jun 27, 2017",0.978,0.451,0.065
"Jun 30, 2017",0.992,0.43,0.03
"Jun 30, 2017",1.001,0.434,0.014
"Jul 7, 2017",61.738,0.543,-19.733
"Jul 7, 2017",153.427,0.559,-11.829
"Jul 10, 2017",,,
"Jul 10, 2017",,,
"Jul 30, 2017",1.281,0.413,-0.06
"Jul 30, 2017",1.118,0.416,-0.068
"Aug 6, 2017",,,
"Aug 6, 2017",,,
"Aug 9, 2017",1.601,0.341,-0.024
"Aug 9, 2017",1.451,0.342,-0.023
"Aug 16, 2017",,,
"Aug 16, 2017",,,
"Aug 26, 2017",,,
"Aug 26, 2017",,,
"Sep 5, 2017",0.756,0.393,0.035
"Sep 5, 2017",0.762,0.392,0.027
"Oct 18, 2017",,,
"Oct 18, 2017",,,
"Oct 25, 2017",,,
"Nov 7, 2017",0.593,0.245,0.004
"Nov 7, 2017",0.595,0.247,0.011
"Nov 14, 2017",2.319,0.172,-0.03
"Nov 14, 2017",2.224,0.171,-0.019
"Nov 17, 2017",,,
"Nov 17, 2017",,,
"Jan 23, 2018",1.625,0.229,0.059
"Jan 23, 2018",2.776,0.232,0.052
"Jan 28, 2018",,,
"Feb 5, 2018",43.115,0.341,-15.117
"Feb 7, 2018",,,
"Feb 7, 2018",,,
"Feb 17, 2018",,,
"Feb 17, 2018",,,
"Feb 20, 2018",1.767,0.289,-0.341
"Feb 20, 2018",1.255,0.291,-0.628
"Feb 22, 2018",0.964,0.301,-0.131
"Feb 27, 2018",1.04,0.333,-0.053
"Mar 4, 2018",0.514,0.282,-0.001
"Mar 4, 2018",0.455,0.264,-0.002
"Mar 7, 2018",,,
"Mar 7, 2018",,,
"Mar 17, 2018",0.329,0.205,-0.04
"Mar 17, 2018",0.324,0.207,-0.017
"Mar 27, 2018",0.725,0.315,-0.098
"Mar 27, 2018",0.724,0.316,-0.152
"Mar 29, 2018",,,
"Mar 29, 2018",,,
"Apr 1, 2018",0.618,0.307,-0.213
"Apr 1, 2018",0.703,0.307,-0.217
"Apr 3, 2018",0.65,0.321,-0.053
"Apr 3, 2018",0.659,0.32,-0.124
"Apr 8, 2018",0.657,0.279,-0.675
"Apr 8, 2018",2.012,0.28,-0.781
"Apr 11, 2018",0.528,0.272,-0.525
"Apr 11, 2018",0.554,0.273,-0.509
"Apr 13, 2018",0.523,0.27,-1.302
"Apr 13, 2018",0.713,0.27,-1.608
"Apr 18, 2018",0.56,0.285,-0.361
"Apr 18, 2018",0.526,0.285,-0.301
"Apr 21, 2018",1.728,0.322,0.049
"Apr 21, 2018",1.519,0.322,0.053
"Apr 23, 2018",0.522,0.276,-0.143
"Apr 23, 2018",0.474,0.275,-0.116
"Apr 28, 2018",172.889,0.2,-859.444
"Apr 28, 2018",107.012,0.261,-248.243
"May 6, 2018",0.413,0.263,0.002
"May 6, 2018",0.416,0.264,0.006
"May 8, 2018",0.478,0.317,0.032
"May 8, 2018",0.473,0.318,0.029
"May 11, 2018",0.444,0.283,0.046
"May 11, 2018",0.453,0.283,0.046
"May 13, 2018",0.561,0.316,0.027
"May 13, 2018",0.565,0.316,0.02
"May 16, 2018",,,
"May 16, 2018",,,
"May 18, 2018",0.766,0.371,0.046
"May 18, 2018",0.771,0.372,0.045
"May 21, 2018",0.802,0.358,0.035
"May 21, 2018",0.817,0.368,0.033
"May 23, 2018",37.627,0.473,-51.81
"May 23, 2018",242.593,0.543,-41.231
"May 26, 2018",,,
"May 26, 2018",,,
"May 31, 2018",0.993,0.404,0.039
"May 31, 2018",0.998,0.405,0.037
"Jun 2, 2018",426.5,0.56,-25.216
"Jun 2, 2018",96.2,0.486,-71.029
"Jun 10, 2018",0.955,0.404,0.026
"Jun 10, 2018",0.958,0.405,0.02
"Jun 12, 2018",6.604,0.494,0.094
"Jun 12, 2018",12.719,0.497,0.09
"Jun 17, 2018","1,672.5",0.805,-30.433
"Jun 17, 2018",870,-0.722,"-7,605"
"Jun 20, 2018",1.189,0.445,0.04
"Jun 20, 2018",1.18,0.446,0.023
"Jun 30, 2018",3.052,0.246,0.012
"Jun 30, 2018",3.973,0.236,0.007
"Jul 5, 2018",15.254,0.337,0.057
"Jul 5, 2018",8.661,0.326,-183.571
"Jul 7, 2018",0.921,0.445,0.04
"Jul 7, 2018",0.923,0.445,0.03
"Jul 10, 2018",0.747,0.377,0.028
"Jul 10, 2018",0.746,0.378,0.028
"Jul 12, 2018",0.826,0.422,0.02
"Jul 12, 2018",0.827,0.423,0.029
"Jul 15, 2018",0.888,0.448,0.035
"Jul 15, 2018",0.892,0.45,0.036
"Jul 17, 2018",0.838,0.446,0.042
"Jul 17, 2018",0.845,0.447,0.046
"Jul 22, 2018",0.807,0.411,0.025
"Jul 22, 2018",0.814,0.411,0.019
"Jul 25, 2018",,,
"Jul 25, 2018",,,
"Jul 27, 2018",0.558,0.144,0.009
"Jul 27, 2018",0.566,0.145,0.009
"Jul 30, 2018",2.715,0.395,-0.001
"Jul 30, 2018",2.378,0.396,0.004
"Aug 1, 2018",488.125,0.232,"-2,450"
"Aug 1, 2018","1,367.5",0.501,-495
"Aug 4, 2018",0.203,0.094,0.008
"Aug 4, 2018",0.204,0.094,0.008
"Aug 11, 2018",27.698,0.474,-26.101
"Aug 11, 2018",67.652,0.466,-149.479
"Aug 14, 2018",,,
"Aug 14, 2018",,,
"Aug 16, 2018",0.906,0.37,0.028
