system:time_start,constant_max,constant_mean,constant_min
"Mar 29, 2017",6.726,0.487,0.109
"Mar 29, 2017",1.752,0.411,0.122
"Apr 18, 2017",0.439,0.227,0.043
"Apr 18, 2017",0.45,0.227,0.041
"Apr 21, 2017",20,0.349,-0.052
"Apr 21, 2017",11.46,0.345,-0.056
"Apr 28, 2017",0.46,0.21,0.033
"Apr 28, 2017",0.468,0.21,0.032
"May 1, 2017",0.459,0.273,0.103
"May 1, 2017",0.465,0.279,0.105
"May 8, 2017",,,
"May 8, 2017",,,
"May 11, 2017",3.793,0.213,-0.1
"May 11, 2017",1.651,0.195,-0.097
"May 21, 2017",0.854,0.285,0.105
"May 21, 2017",0.918,0.287,0.107
"May 28, 2017",0.521,0.28,0.108
"May 28, 2017",0.54,0.28,0.11
"Jun 7, 2017",0.701,0.347,0.128
"Jun 7, 2017",0.722,0.347,0.131
"Jun 10, 2017",82.534,0.142,-48.776
"Jun 10, 2017",336.389,0.243,-19.947
"Jun 17, 2017",,,
"Jun 20, 2017",,,
"Jun 27, 2017",,,
"Jun 30, 2017",,,
"Jun 30, 2017",,,
"Jul 7, 2017",0.856,0.444,0.159
"Jul 7, 2017",0.916,0.453,0.164
"Jul 10, 2017",117.312,0.573,-79.789
"Jul 10, 2017",17.887,0.308,-117.111
"Jul 17, 2017",,,
"Jul 20, 2017",2.777,0.393,0.03
"Jul 20, 2017",4.842,0.411,0.014
"Jul 30, 2017",0.75,0.416,0.151
"Jul 30, 2017",0.761,0.423,0.146
"Aug 6, 2017",64.571,0.565,-130.638
"Aug 6, 2017",,,
"Aug 9, 2017",,,
"Aug 9, 2017",,,
"Aug 16, 2017",,,
"Aug 16, 2017",,,
"Aug 26, 2017",,,
"Aug 26, 2017",,,
"Sep 5, 2017",1.379,0.261,0.071
"Sep 5, 2017",1.496,0.258,0.064
"Sep 15, 2017",1.056,0.396,0.078
"Sep 15, 2017",0.949,0.384,0.085
"Oct 18, 2017",,,
"Oct 18, 2017",,,
"Nov 7, 2017",0.329,0.159,0.051
"Nov 7, 2017",0.338,0.16,0.053
"Nov 14, 2017","3,000",1.01,-311.25
"Nov 14, 2017",50,0.251,-137.895
"Nov 17, 2017",1.947,0.422,0.119
"Nov 17, 2017",1.498,0.43,0.095
"Nov 24, 2017",0.734,0.043,-0.142
"Nov 24, 2017",0.643,0.044,-0.135
"Jan 23, 2018",0.623,0.164,-0.017
"Jan 23, 2018",0.58,0.163,-0.013
"Jan 26, 2018",,,
"Jan 26, 2018",,,
"Jan 31, 2018",,,
"Jan 31, 2018",,,
"Feb 5, 2018",18.015,0.332,-127.5
"Feb 5, 2018",7.238,0.347,-10.023
"Feb 7, 2018",,,
"Feb 17, 2018",,,
"Feb 17, 2018",,,
"Feb 20, 2018",1.545,0.279,-8.646
"Feb 20, 2018",2.344,0.284,-29.643
"Feb 22, 2018",1.256,0.297,-0.322
"Feb 22, 2018",0.93,0.295,-2.325
"Feb 27, 2018",0.632,0.306,-0.137
"Feb 27, 2018",0.749,0.308,-0.236
"Mar 4, 2018",0.517,0.281,-0.142
"Mar 4, 2018",0.517,0.28,-0.187
"Mar 7, 2018",0.651,0.267,-0.24
"Mar 7, 2018",0.766,0.272,-0.508
"Mar 17, 2018",1.064,0.263,-0.482
"Mar 17, 2018",0.928,0.263,-1.099
"Mar 27, 2018",7.783,0.27,-311.154
"Mar 27, 2018",1.231,0.282,-0.105
"Mar 29, 2018",1.065,0.307,-0.014
"Mar 29, 2018",1.052,0.309,-0.024
"Apr 1, 2018",0.946,0.256,-0.041
"Apr 1, 2018",0.95,0.255,-0.067
"Apr 3, 2018",9.567,0.322,-3.293
"Apr 3, 2018","1,027.5",0.453,-9.112
"Apr 8, 2018",0.449,0.218,-0.076
"Apr 8, 2018",0.428,0.218,-0.066
"Apr 11, 2018",0.641,0.27,-0.144
"Apr 11, 2018",0.586,0.269,-0.115
"Apr 13, 2018",0.437,0.25,-0.51
"Apr 13, 2018",0.432,0.249,-0.605
"Apr 18, 2018",0.404,0.195,-0.139
"Apr 18, 2018",0.401,0.195,-0.139
"Apr 21, 2018",1.122,0.247,0.004
"Apr 21, 2018",1.125,0.247,0.004
"Apr 23, 2018",0.368,0.236,0.102
"Apr 23, 2018",0.373,0.236,0.101
"Apr 26, 2018",0.555,0.283,0.118
"Apr 26, 2018",0.561,0.282,0.113
"Apr 28, 2018",,,
"Apr 28, 2018",,,
"May 6, 2018",0.412,0.277,0.051
"May 6, 2018",0.408,0.277,0.051
"May 8, 2018",0.422,0.265,0.052
"May 8, 2018",0.427,0.265,0.058
"May 11, 2018",0.412,0.27,0.066
"May 11, 2018",0.402,0.27,0.068
"May 13, 2018",,,
"May 13, 2018",,,
"May 16, 2018",45.181,0.325,-458.077
"May 16, 2018",318.788,0.424,-71.317
"May 18, 2018",576,0.479,-10.533
"May 18, 2018",206.17,0.385,-120
"May 21, 2018",0.68,0.349,0.133
"May 21, 2018",0.651,0.349,0.136
"May 23, 2018",0.745,0.381,0.156
"May 23, 2018",0.717,0.382,0.157
"May 26, 2018",0.736,0.367,0.141
"May 26, 2018",0.752,0.368,0.14
"May 31, 2018",0.838,0.404,0.161
"May 31, 2018",0.827,0.404,0.163
"Jun 2, 2018",0.151,0.068,0.021
"Jun 2, 2018",0.15,0.068,0.021
"Jun 7, 2018",0.861,0.405,0.141
"Jun 7, 2018",0.847,0.404,0.133
"Jun 10, 2018",0.923,0.28,0.069
"Jun 10, 2018",0.864,0.28,0.067
"Jun 12, 2018",0.856,0.429,0.166
"Jun 12, 2018",0.872,0.429,0.169
"Jun 17, 2018","1,051",0.347,-292.143
