system:time_start,constant_max,constant_mean,constant_min
"Apr 10, 2017",0.338,0.16,0.096
"Apr 10, 2017",0.333,0.156,0.093
"Apr 27, 2017",3.014,0.344,0.045
"Apr 27, 2017",1.658,0.321,0.053
"Apr 30, 2017",0.668,0.342,0.152
"Apr 30, 2017",0.662,0.338,0.149
"May 7, 2017",,,
"May 7, 2017",,,
"May 27, 2017",0.893,0.361,0.108
"May 27, 2017",0.899,0.362,0.106
"Jun 6, 2017",,,
"Jun 6, 2017",,,
"Jun 9, 2017",0.839,0.38,0.156
"Jun 16, 2017",82.107,0.2,"-1,106"
"Jun 19, 2017",0.935,0.391,0.101
"Jun 19, 2017",1.018,0.411,0.101
"Jun 26, 2017",,,
"Jul 6, 2017",0.909,0.427,0.129
"Jul 6, 2017",0.88,0.421,0.141
"Jul 9, 2017",,,
"Jul 9, 2017",,,
"Jul 19, 2017",,,
"Jul 19, 2017",,,
"Aug 5, 2017",,,
"Aug 5, 2017",,,
"Aug 8, 2017",147.986,0.446,-4.352
"Aug 8, 2017",5.652,0.372,-29.039
"Aug 15, 2017",13.204,0.265,-9.856
"Aug 15, 2017",71.278,0.275,-22.821
"Aug 25, 2017",0.592,0.092,0.014
"Aug 25, 2017",0.537,0.086,0.013
"Sep 14, 2017",,,
"Sep 17, 2017",153.169,0.211,-101.279
"Sep 17, 2017",181.14,0.397,-36.088
"Sep 24, 2017",15.472,0.403,-95.4
"Sep 24, 2017",69.521,0.4,-7.382
"Sep 27, 2017",0.536,0.283,0.073
"Oct 17, 2017",0.231,0.1,0.023
"Oct 17, 2017",0.232,0.106,0.03
"Nov 3, 2017",26.239,0.304,-215.769
"Nov 6, 2017",27.618,0.363,-71.635
"Nov 6, 2017",134.452,0.426,-51.578
"Nov 13, 2017",0.656,0.328,0.018
"Nov 13, 2017",0.643,0.327,0.016
"Nov 16, 2017",,,
"Nov 26, 2017",,,
"Dec 3, 2017",,,
"Dec 16, 2017",0.252,0.031,-0.577
"Dec 16, 2017",0.245,0.031,-0.475
"Dec 18, 2017",55.417,0.202,-142
"Dec 21, 2017",0.889,0.294,-0.16
"Dec 21, 2017",0.798,0.28,-0.127
"Jan 2, 2018",,,
"Jan 2, 2018",,,
"Jan 5, 2018",418.333,0.32,-357.75
"Jan 5, 2018",188.14,-0.936,"-8,360"
"Jan 7, 2018",0.892,0.372,-0.008
"Jan 7, 2018",0.878,0.364,-0.006
"Jan 17, 2018",,,
"Jan 25, 2018",,,
"Jan 27, 2018",0.683,0.335,0.034
"Jan 27, 2018",0.672,0.329,0.035
"Jan 30, 2018",,,
"Feb 4, 2018",1.533,0.29,0.084
"Feb 6, 2018",1.573,0.283,-6.333
"Feb 9, 2018",0.559,0.309,-5.711
"Feb 9, 2018",0.552,0.306,-3.21
"Feb 14, 2018",4.252,0.297,-0.05
"Feb 21, 2018",,,
"Feb 24, 2018",0.446,0.285,-0.155
"Feb 24, 2018",0.447,0.286,-0.157
"Feb 26, 2018",0.483,0.31,-0.11
"Feb 26, 2018",0.488,0.315,-0.134
"Mar 1, 2018",2.258,0.242,-0.161
"Mar 1, 2018",5.265,0.243,-0.182
"Mar 3, 2018",144.655,0.281,-89.271
"Mar 6, 2018",0.462,0.297,-0.623
"Mar 6, 2018",0.43,0.284,-0.412
"Mar 16, 2018",,,
"Mar 16, 2018",,,
"Mar 18, 2018",0.425,0.299,-0.03
"Mar 18, 2018",0.418,0.295,-0.024
"Mar 23, 2018",,,
"Mar 26, 2018",,,
"Mar 28, 2018",,,
"Mar 28, 2018",,,
"Apr 2, 2018",0.425,0.311,0.054
"Apr 2, 2018",0.431,0.313,0.053
"Apr 10, 2018",0.187,0.102,0.052
"Apr 12, 2018",0.37,0.275,0.086
"Apr 12, 2018",0.4,0.295,0.087
"Apr 20, 2018",0.424,0.288,0.076
"Apr 20, 2018",0.426,0.29,0.077
"Apr 25, 2018",,,
"Apr 27, 2018",27.518,-0.042,"-1,160"
"Apr 30, 2018",624.722,0.396,-122.597
"Apr 30, 2018",88.148,0.191,"-1,384.375"
"May 2, 2018",0.602,0.322,0.106
"May 2, 2018",0.607,0.324,0.107
"May 5, 2018",0.663,0.303,0.114
"May 5, 2018",0.712,0.314,0.118
"May 7, 2018",0.652,0.337,0.106
"May 7, 2018",0.657,0.339,0.107
"May 10, 2018",,,
"May 10, 2018",,,
"May 12, 2018",,,
"May 15, 2018",1.272,0.368,0.106
"May 15, 2018",1.031,0.353,0.11
"May 17, 2018",206.667,0.197,"-1,374.286"
"May 17, 2018",422.857,0.337,-315.469
"May 20, 2018",33.168,0.19,-102
"May 20, 2018",165.982,0.567,-38.857
"May 22, 2018",,,
"May 22, 2018",,,
"May 25, 2018",0.923,0.389,0.117
"May 25, 2018",0.946,0.403,0.121
"May 30, 2018",0.898,0.397,0.126
"May 30, 2018",0.904,0.401,0.128
"Jun 1, 2018",0.937,0.438,0.14
"Jun 1, 2018",0.943,0.441,0.14
"Jun 4, 2018",,,
"Jun 6, 2018",3.383,0.504,0.204
"Jun 9, 2018",0.866,0.429,0.175
"Jun 14, 2018",,,
"Jun 19, 2018",60.69,1.1,-25.62
"Jun 19, 2018",49.727,1.157,-31.804
"Jun 21, 2018",,,
"Jun 24, 2018",10.698,0.504,-5.518
"Jun 24, 2018",5.059,0.44,-10.119
"Jun 26, 2018",34.409,0.229,-36.02
"Jun 26, 2018",29.395,0.22,-26.944
"Jun 29, 2018",0.876,0.413,0.125
"Jun 29, 2018",0.884,0.417,0.126
"Jul 1, 2018",0.884,0.439,0.128
"Jul 1, 2018",0.891,0.443,0.129
"Jul 4, 2018",0.824,0.396,0.119
"Jul 4, 2018",0.831,0.4,0.119
"Jul 6, 2018",,,
"Jul 6, 2018",,,
"Jul 9, 2018",,,
"Jul 9, 2018",,,
"Jul 11, 2018",,,
"Jul 14, 2018",,,
"Jul 14, 2018",,,
"Jul 16, 2018",0.809,0.406,0.125
"Jul 16, 2018",0.823,0.415,0.13
"Jul 19, 2018",0.824,0.395,0.123
"Jul 19, 2018",0.836,0.4,0.122
"Jul 21, 2018",0.792,0.401,0.131
"Jul 21, 2018",0.805,0.407,0.13
"Jul 24, 2018",865,0.528,-36.607
"Jul 24, 2018",55.5,-0.071,"-1,048"
"Jul 26, 2018",0.786,0.397,0.116
"Jul 26, 2018",0.8,0.403,0.116
"Jul 29, 2018",1.08,0.308,-0.006
"Jul 29, 2018",1.109,0.308,-0.01
"Jul 31, 2018",0.766,0.38,0.104
"Jul 31, 2018",0.795,0.397,0.109
"Aug 3, 2018",0.761,0.365,0.109
"Aug 3, 2018",0.768,0.369,0.11
"Aug 5, 2018",42.273,0.853,-15.182
"Aug 5, 2018",35.656,0.715,-7.671
"Aug 8, 2018",,,
"Aug 10, 2018",0.873,0.243,0.058
"Aug 15, 2018",8.472,0.458,-94.653
"Aug 15, 2018",96.096,0.487,-102.869
"Aug 18, 2018",,,
"Aug 20, 2018",,,
"Aug 20, 2018",,,
"Aug 23, 2018",0.726,0.365,0.093
"Aug 23, 2018",0.722,0.371,0.108
"Aug 25, 2018",,,
"Aug 25, 2018",,,
"Sep 2, 2018",0.676,0.382,0.174
"Sep 2, 2018",0.672,0.378,0.168
"Sep 4, 2018",,,
"Sep 9, 2018",0.79,0.414,0.113
"Sep 9, 2018",0.741,0.393,0.121
"Sep 14, 2018",,,
"Sep 19, 2018",0.467,0.389,0.296
"Sep 19, 2018",0.456,0.38,0.288
"Sep 22, 2018",0.98,0.476,0.25
"Sep 22, 2018",0.718,0.402,0.222
"Sep 24, 2018",0.619,0.443,0.29
"Sep 24, 2018",0.648,0.455,0.295
"Sep 29, 2018",,,
"Oct 2, 2018",,,
"Oct 4, 2018",0.568,0.386,0.279
"Oct 4, 2018",0.531,0.375,0.279
"Oct 7, 2018",1.082,0.454,0.111
"Oct 7, 2018",1.122,0.459,0.11
"Oct 12, 2018",0.615,0.336,0.051
"Oct 12, 2018",0.621,0.339,0.049
"Oct 14, 2018",0.654,0.359,0.046
"Oct 14, 2018",0.663,0.362,0.043
"Oct 17, 2018",0.607,0.362,0.095
"Oct 17, 2018",0.613,0.365,0.094
"Oct 19, 2018",263.889,0.323,-820
"Oct 19, 2018","1,039.167",0.462,-605.357
"Oct 22, 2018",0.552,0.218,0.04
"Oct 22, 2018",0.561,0.219,0.036
"Oct 24, 2018",0.609,0.363,0.034
"Oct 24, 2018",0.616,0.365,0.032
"Oct 27, 2018",,,
"Oct 27, 2018",,,
"Nov 1, 2018",0.44,0.263,0.046
"Nov 1, 2018",0.442,0.265,0.046
"Nov 3, 2018",0.527,0.104,0.011
"Nov 3, 2018",0.532,0.104,0.009
"Nov 6, 2018",0.547,0.323,0.049
"Nov 6, 2018",0.548,0.324,0.051
"Nov 11, 2018",,,
"Nov 16, 2018",0.652,0.335,0.018
"Nov 16, 2018",0.648,0.333,0.02
"Nov 18, 2018",0.264,0.125,0.01
