system:time_start,constant_max,constant_mean,constant_min
"Apr 27, 2017",14.266,0.224,-51.344
"Apr 27, 2017",13.78,0.25,-129.651
"May 4, 2017",0.427,0.307,0.135
"May 4, 2017",0.444,0.307,0.147
"May 7, 2017",,,
"May 24, 2017",0.479,0.327,0.189
"May 24, 2017",0.471,0.327,0.152
"May 27, 2017",0.489,0.319,0.162
"May 27, 2017",0.482,0.319,0.168
"Jun 3, 2017",2.249,0.402,0.106
"Jun 6, 2017",,,
"Jun 6, 2017",,,
"Jun 23, 2017",387.963,0.511,-392.885
"Jun 23, 2017","1,497.5",0.525,-745.417
"Jun 26, 2017",4.109,0.434,0.186
"Jun 26, 2017",2.754,0.441,0.2
"Jul 3, 2017",49.419,0.649,-95.449
"Jul 3, 2017",213.699,0.829,-207.534
"Jul 6, 2017",0.717,0.397,0.209
"Jul 6, 2017",0.72,0.397,0.23
"Jul 13, 2017",,,
"Jul 13, 2017",,,
"Jul 23, 2017",77.228,0.679,-73.451
"Jul 23, 2017","1,105.714",1.02,-104.841
"Aug 2, 2017",,,
"Aug 2, 2017",,,
"Aug 5, 2017",,,
"Aug 22, 2017",,,
"Aug 22, 2017",,,
"Aug 25, 2017",,,
"Aug 25, 2017",,,
"Sep 1, 2017",1.026,0.389,0.136
"Sep 1, 2017",0.965,0.39,0.165
"Sep 11, 2017",0.687,0.399,0.127
"Sep 11, 2017",0.62,0.367,0.112
"Sep 21, 2017",0.631,0.331,0.051
"Sep 21, 2017",0.647,0.329,0.055
"Sep 24, 2017",,,
"Sep 24, 2017",,,
"Oct 1, 2017",,,
"Oct 1, 2017",,,
"Oct 4, 2017",0.574,0.39,0.153
"Oct 4, 2017",0.577,0.39,0.15
"Oct 11, 2017",,,
"Oct 11, 2017",,,
"Oct 14, 2017",0.442,0.259,0.035
"Oct 14, 2017",0.446,0.258,0.033
"Oct 21, 2017",0.594,0.323,0.044
"Oct 21, 2017",0.578,0.315,0.044
"Oct 31, 2017",0.535,0.29,0.032
"Oct 31, 2017",0.533,0.287,0.034
"Nov 3, 2017",0.585,0.281,0.017
"Nov 3, 2017",0.577,0.282,0.018
"Nov 10, 2017",4.004,0.131,-0.026
