system:time_start,constant_max,constant_mean,constant_min
"Mar 31, 2017",0.556,0.174,-1.77
"Apr 17, 2017",,,
"Apr 24, 2017",1.06,0.131,-0.3
"May 4, 2017",4.766,0.295,-10.128
"May 10, 2017",,,
"May 24, 2017",0.549,0.252,-0.021
"May 30, 2017",0.567,0.253,-0.022
"Jun 3, 2017",0.633,0.262,-0.013
"Jun 6, 2017",,,
"Jun 13, 2017",0.912,0.335,-0.02
"Jun 16, 2017",,,
"Jun 19, 2017",,,
"Jun 23, 2017",15.172,0.335,-0.043
"Jun 26, 2017",,,
"Jun 29, 2017",288.143,-1.395,"-10,285"
"Jul 6, 2017",0.969,0.332,-0.004
"Jul 9, 2017",,,
"Jul 13, 2017",,,
"Jul 26, 2017",0.996,0.377,0.008
"Jul 29, 2017",2.086,0.441,-0.025
"Aug 5, 2017",1.332,0.332,-0.024
"Aug 8, 2017",,,
"Aug 12, 2017",2.203,0.366,-0.024
"Aug 15, 2017",1.012,0.347,-0.031
"Aug 22, 2017",,,
"Aug 25, 2017",,,
"Sep 1, 2017",0.811,0.293,-0.019
"Sep 7, 2017",0.976,0.388,0.106
"Sep 11, 2017",,,
"Oct 17, 2017",,,
"Oct 21, 2017",0.609,0.252,-0.023
"Oct 24, 2017",,,
"Oct 31, 2017",13.922,0.249,-221.25
"Nov 3, 2017",14.909,0.275,-131.429
"Nov 6, 2017",143.333,0.079,-116.923
"Nov 10, 2017",0.834,0.288,-0.344
"Feb 3, 2018",170.714,0.125,-33.75
"Feb 4, 2018",545,0.266,-4.186
"Feb 6, 2018",22.237,0.292,-54.643
"Feb 8, 2018",160,0.297,-25.333
"Feb 14, 2018",,,
"Feb 19, 2018",,,
"Feb 21, 2018",53.654,0.239,-14.778
"Feb 23, 2018",0.364,0.151,-0.3
"Feb 24, 2018",28.333,0.227,-39.211
"Feb 28, 2018",17.703,0.236,-16.795
"Mar 1, 2018",36.685,0.22,-9.043
"Mar 8, 2018",0.791,0.144,-0.383
"Mar 11, 2018",112.368,0.224,-134.545
"Mar 15, 2018",3.66,0.235,-2.892
"Mar 16, 2018",1.459,0.212,-0.395
"Mar 21, 2018",13.538,0.122,-4.095
"Mar 23, 2018",1.964,0.064,-6.334
"Mar 25, 2018",0.228,0.13,0.007
"Mar 26, 2018",1.001,0.272,-0.147
"Mar 30, 2018",1.047,0.264,-2.372
"Mar 31, 2018",1.072,0.248,-0.226
"Apr 9, 2018",,,
"Apr 10, 2018",0.449,0.154,-13.229
"Apr 12, 2018",,,
"Apr 14, 2018",0.382,0.128,-0.952
"Apr 15, 2018",0.438,0.05,-6.064
"Apr 17, 2018",222,-0.036,-270.476
"Apr 19, 2018",96.279,-0.22,-157.547
"Apr 22, 2018",272.679,-0.017,-668.75
"Apr 25, 2018",12.951,0.08,-202.143
"Apr 27, 2018",,,
"Apr 29, 2018",,,
"Apr 30, 2018",196.778,0.206,-205.349
"May 5, 2018",0.394,0.187,-1.854
"May 9, 2018",0.388,0.212,-0.023
"May 10, 2018",0.407,0.211,-0.018
"May 12, 2018",183.39,0.54,-160.441
