system:time_start,constant_max,constant_mean,constant_min
"Mar 31, 2017",0.938,0.26,-8.775
"Apr 17, 2017",,,
"Apr 24, 2017",2.215,0.21,-0.001
"May 4, 2017",4.921,0.265,-5.419
"May 10, 2017",,,
"May 24, 2017","11,540",13.469,-31.71
"May 30, 2017",0.363,0.274,0.11
"Jun 3, 2017",0.413,0.293,0.126
"Jun 6, 2017",,,
"Jun 13, 2017",5.688,0.353,0.101
"Jun 16, 2017",,,
"Jun 19, 2017",0.757,0.346,0.133
"Jun 23, 2017",0.688,0.345,0.038
"Jun 26, 2017",,,
"Jun 29, 2017",6.485,0.36,-0.026
"Jul 6, 2017",0.768,0.333,0.148
"Jul 9, 2017",,,
"Jul 13, 2017",,,
"Jul 26, 2017",0.703,0.317,0.129
"Jul 29, 2017",,,
"Aug 5, 2017",6.866,0.396,0.168
"Aug 8, 2017",,,
"Aug 12, 2017",5.859,0.353,0.088
"Aug 15, 2017",0.606,0.346,0.151
"Aug 22, 2017",,,
"Aug 25, 2017",0.344,0.225,0.162
"Sep 1, 2017",0.537,0.318,0.132
"Sep 7, 2017",,,
"Sep 11, 2017",,,
"Oct 17, 2017",0.281,0.14,0.044
"Oct 21, 2017",0.417,0.23,0.113
"Oct 24, 2017",,,
"Oct 31, 2017",4.77,0.304,-4.679
"Nov 3, 2017",2.797,0.358,-25.641
"Nov 6, 2017",177.143,0.29,-57.647
"Nov 10, 2017",180,0.347,-6.349
"Feb 3, 2018",356,0.207,-50.227
"Feb 4, 2018",25.182,0.192,-7.082
"Feb 6, 2018",35.476,0.181,-52.368
"Feb 8, 2018",154.643,0.183,-146.905
"Feb 14, 2018",,,
"Feb 19, 2018",,,
"Feb 21, 2018",12.529,0.12,-1.521
"Feb 23, 2018",34.038,0.066,-98.333
"Feb 24, 2018",7.5,0.138,-7.205
"Feb 28, 2018",7.783,0.149,-12.606
"Mar 1, 2018",290,0.187,-1.403
"Mar 8, 2018",0.356,0.139,-0.283
"Mar 11, 2018",0.841,0.166,-0.173
"Mar 15, 2018",0.589,0.215,-0.274
"Mar 16, 2018",0.347,0.202,-0.234
"Mar 21, 2018",0.633,0.235,-3.548
"Mar 23, 2018",2.923,0.242,-2.307
"Mar 25, 2018",0.25,0.146,0.097
"Mar 26, 2018",0.466,0.269,-0.004
"Mar 30, 2018",0.693,0.281,-0.143
"Mar 31, 2018",0.65,0.265,-0.056
"Apr 9, 2018",,,
"Apr 10, 2018",0.899,0.26,-0.146
"Apr 12, 2018",,,
"Apr 14, 2018",0.39,0.251,-0.3
"Apr 15, 2018",0.368,0.224,-2.223
"Apr 17, 2018",0.47,0.234,-2.956
"Apr 19, 2018",12.089,-0.149,"-2,697.5"
"Apr 22, 2018",62.596,0.224,-25.891
"Apr 25, 2018",,,
"Apr 27, 2018",0.305,0.188,-0.134
"Apr 29, 2018",,,
"Apr 30, 2018",0.408,0.232,-1.776
"May 5, 2018",0.448,0.211,-2.711
"May 9, 2018",0.35,0.244,0.034
"May 10, 2018",0.335,0.241,0.037
"May 12, 2018",,,
"May 14, 2018",0.344,0.248,0.069
"May 15, 2018",,,
"May 17, 2018",0.751,0.226,0.06
"May 19, 2018",,,
"May 22, 2018",,,
"May 24, 2018",,,
"May 25, 2018",0.38,0.264,0.049
"May 29, 2018",0.45,0.285,0.06
"May 30, 2018",0.416,0.304,0.237
"Jun 1, 2018",,,
"Jun 4, 2018",0.653,0.326,0.09
"Jun 9, 2018",0.552,0.242,0.079
"Jun 11, 2018",0.655,0.313,0.072
"Jun 21, 2018",7.609,0.234,-12.408
"Jun 23, 2018",,,
"Jun 24, 2018",0.712,0.303,0.087
"Jul 1, 2018",0.753,0.304,0.073
"Jul 3, 2018",0.737,0.309,0.142
"Jul 8, 2018",0.771,0.318,0.078
"Jul 9, 2018",0.757,0.348,0.114
"Jul 11, 2018",0.761,0.327,0.062
"Jul 13, 2018",93.205,-0.181,-982
"Jul 14, 2018",0.73,0.294,0.062
"Jul 16, 2018",0.732,0.304,0.049
"Jul 18, 2018",0.772,0.349,0.09
"Jul 19, 2018",0.711,0.305,0.09
"Jul 21, 2018",3.373,0.355,0.142
"Jul 23, 2018",40.583,0.259,-302.5
"Jul 24, 2018",0.647,0.291,0.087
"Jul 26, 2018",,,
"Jul 28, 2018",,,
"Jul 31, 2018",0.873,0.218,-0.092
"Aug 2, 2018",0.589,0.301,0.071
"Aug 3, 2018",0.585,0.275,0.08
"Aug 7, 2018",0.644,0.342,0.081
"Aug 12, 2018",1.199,0.323,0.006
"Aug 13, 2018",0.631,0.32,0.099
"Aug 15, 2018",,,
"Aug 18, 2018",,,
"Aug 20, 2018",,,
"Aug 23, 2018",3.504,0.213,-8.498
"Aug 25, 2018",40.833,0.238,-13.904
"Aug 27, 2018",5.302,0.216,-80.357
"Sep 1, 2018",0.504,0.28,0.087
"Sep 2, 2018",0.71,0.348,0.174
"Sep 4, 2018",0.502,0.276,0.07
"Sep 6, 2018",1.745,0.322,-0.004
"Sep 7, 2018",0.488,0.265,0.071
"Sep 16, 2018",0.496,0.301,0.093
"Sep 17, 2018",,,
"Sep 21, 2018",,,
"Sep 26, 2018",0.444,0.304,0.19
"Sep 27, 2018",0.464,0.276,0.072
"Oct 1, 2018",0.435,0.267,0.072
"Oct 2, 2018",0.447,0.267,0.079
"Oct 4, 2018",0.469,0.271,0.075
"Oct 6, 2018",0.862,0.297,0.09
"Oct 7, 2018",0.449,0.27,0.086
"Oct 9, 2018",,,
"Oct 11, 2018",0.557,0.268,0.054
"Oct 14, 2018",0.385,0.227,0.035
"Oct 19, 2018",0.422,0.242,0.031
"Oct 22, 2018",23.961,0.188,0.029
"Oct 24, 2018",0.481,0.259,0.03
"Oct 26, 2018",0.419,0.181,0.081
"Oct 27, 2018",0.52,0.252,0.085
"Oct 29, 2018",0.425,0.151,-0.03
"Nov 1, 2018",0.575,0.286,-0.043
"Nov 3, 2018",0.568,0.287,-0.006
"Nov 5, 2018",0.565,0.287,-0.011
"Feb 6, 2019",20.11,0.312,-14.493
"Feb 11, 2019",136.5,0.235,-288.333
"Feb 13, 2019",16.25,0.103,-6.667
"Feb 19, 2019",0.719,0.118,-0.048
"Feb 21, 2019",2.845,0.324,-5.913
"Feb 24, 2019",1.161,0.075,-455
"Feb 26, 2019",,,
"Feb 28, 2019",1.349,0.294,-1.2
"Mar 3, 2019",11.746,0.284,-0.32
"Mar 3, 2019",0.936,0.283,-0.402
"Mar 5, 2019",0.747,0.278,-2.229
"Mar 6, 2019",0.694,0.271,-0.272
"Mar 10, 2019",,,
"Mar 11, 2019",0.62,0.251,-3.333
"Mar 16, 2019",,,
"Mar 18, 2019",,,
"Mar 21, 2019",,,
"Mar 23, 2019",490,0.181,-395
"Mar 25, 2019",,,
"Mar 26, 2019",4.635,0.262,-10.208
"Mar 28, 2019",,,
"Mar 30, 2019",7.085,0.199,-42.821
"Apr 2, 2019",0.553,0.232,-0.109
"Apr 4, 2019",,,
"Apr 5, 2019",0.862,0.27,-2.109
"Apr 9, 2019",0.412,0.257,-0.799
"Apr 10, 2019",0.431,0.234,-12.937
"Apr 12, 2019",3.743,0.223,-4.459
"Apr 14, 2019",92.237,0.244,-54.375
"Apr 14, 2019",69.722,0.199,-129.167
"Apr 15, 2019",54.583,0.175,-195
"Apr 17, 2019",0.405,0.213,-1.995
"Apr 19, 2019",276.667,0.236,-65.385
"Apr 20, 2019",0.335,0.201,-10.493
"Apr 22, 2019",0.317,0.209,-2.513
"Apr 24, 2019",0.365,0.231,-0.62
"Apr 25, 2019",0.347,0.237,-0.133
"Apr 27, 2019",0.323,0.226,-0.149
"Apr 29, 2019",0.38,0.253,-0.125
"Apr 30, 2019",0.348,0.231,-0.125
"May 4, 2019",0.507,0.168,-0.025
"May 5, 2019",0.902,0.278,-0.011
"May 10, 2019",0.638,0.182,0.049
"May 15, 2019",0.723,0.265,0.022
"May 17, 2019",0.336,0.241,0.051
"May 19, 2019",,,
"May 20, 2019",,,
"May 27, 2019",29.903,0.317,-12.725
"May 29, 2019",94.687,0.323,-129.444
"Jun 1, 2019",0.453,0.144,0.031
"Jun 3, 2019",,,
"Jun 4, 2019",,,
"Jun 6, 2019",0.412,0.272,0.056
"Jun 8, 2019","2,002.5",1.088,-52.243
"Jun 9, 2019",4.397,0.302,-19.71
"Jun 14, 2019",0.645,0.353,0.145
"Jun 16, 2019",,,
"Jun 18, 2019",127.5,0.303,-54.167
"Jun 21, 2019",31.327,0.449,-111.422
"Jun 23, 2019",,,
"Jun 24, 2019",0.477,0.088,0.025
"Jun 28, 2019",5.851,0.474,-39.167
"Jul 1, 2019",1.474,0.379,0.082
"Jul 3, 2019",0.709,0.331,0.077
"Jul 4, 2019",2.123,0.359,0.057
"Jul 8, 2019",520.625,0.365,0.031
"Jul 9, 2019",0.836,0.201,0.062
"Jul 11, 2019",0.755,0.33,0.091
"Jul 13, 2019",0.713,0.339,0.115
"Jul 14, 2019",,,
"Jul 16, 2019",0.759,0.342,0.087
"Jul 18, 2019",,,
"Jul 19, 2019",0.654,0.304,0.093
"Jul 21, 2019",0.705,0.32,0.078
"Jul 23, 2019",,,
"Jul 24, 2019",0.645,0.302,0.076
"Jul 26, 2019",0.624,0.305,0.096
"Jul 28, 2019",2.505,0.374,0.117
"Jul 29, 2019",,,
"Jul 31, 2019",0.672,0.338,0.115
"Aug 3, 2019",,,
"Aug 5, 2019",0.858,0.356,0.102
"Aug 7, 2019",0.639,0.346,0.132
"Aug 10, 2019",0.667,0.325,0.118
"Aug 13, 2019",10.019,0.309,-13.564
"Aug 20, 2019",184.687,0.226,-0.096
"Aug 22, 2019",0.553,0.318,0.098
"Aug 27, 2019",0.553,0.312,0.082
"Aug 28, 2019",0.51,0.281,0.08
"Aug 30, 2019",73.092,0.353,-19.54
"Sep 4, 2019",0.509,0.288,0.081
"Sep 6, 2019",0.839,0.38,0.206
"Sep 9, 2019",0.607,0.334,0.071
"Sep 11, 2019",247.5,0.205,-195.625
"Sep 12, 2019",817.083,0.545,-82.5
"Sep 14, 2019",,,
"Sep 19, 2019",0.469,0.282,0.077
"Sep 22, 2019",0.478,0.28,0.079
"Sep 26, 2019",3.187,0.534,0.198
"Sep 27, 2019",0.441,0.263,0.061
"Oct 4, 2019",0.458,0.279,0.043
"Oct 9, 2019",0.415,0.252,0.055
"Oct 11, 2019",,,
"Oct 14, 2019",0.445,0.266,0.071
"Oct 22, 2019",1.32,0.037,-0.188
"Oct 27, 2019",0.278,0.071,-0.038
"Oct 29, 2019",0.3,0.179,0.047
"Nov 3, 2019",14.333,0.317,-16.339
"Nov 5, 2019",13.75,0.353,-14.508
"Nov 10, 2019",,,
"Nov 15, 2019",40.326,0.38,-22.536
"Jan 24, 2020",6.293,0.421,-30
"Feb 3, 2020",17.183,0.292,-117.5
"Feb 4, 2020",11.667,0.194,-215
"Feb 6, 2020",15.817,0.282,-48.03
"Feb 8, 2020",4.348,0.267,-6.579
"Feb 13, 2020",10.641,0.327,-3.455
"Feb 14, 2020",267.5,0.338,-5.752
"Feb 18, 2020",,,
"Feb 19, 2020",,,
"Feb 24, 2020",7.586,0.291,-1.518
"Feb 26, 2020",90.959,0.34,-9.922
"Feb 28, 2020",0.719,0.299,-3.779
"Feb 29, 2020",,,
"Mar 7, 2020",0.974,0.283,-0.071
"Mar 9, 2020","2,027.5",0.547,-171.154
"Mar 10, 2020",0.871,0.273,-2.308
"Mar 12, 2020",,,
"Mar 14, 2020",1.607,0.214,-762.5
"Mar 19, 2020",78.333,0.293,-2.523
"Mar 20, 2020",1.163,0.295,-0.062
"Mar 27, 2020",,,
"Mar 29, 2020",43.611,0.264,-25.192
"Mar 30, 2020",0.428,0.269,-0.741
"Apr 1, 2020",,,
"Apr 4, 2020",,,
"Apr 6, 2020",,,
"Apr 8, 2020",,,
"Apr 9, 2020",112.5,0.229,-52.167
"Apr 11, 2020",89.659,0.218,-6.728
"Apr 16, 2020",100.484,0.264,-11.802
"Apr 18, 2020",39.531,0.216,-139.583
"Apr 19, 2020",0.492,0.24,-0.624
"Apr 21, 2020",107.394,0.215,-96.463
"Apr 24, 2020",,,
"Apr 26, 2020",0.657,0.211,0.066
"Apr 29, 2020",0.843,0.244,-0.437
"May 1, 2020",,,
"May 3, 2020",4.43,0.207,-76.176
"May 4, 2020",0.381,0.24,-2.27
"May 6, 2020",4.378,0.191,-169.286
"May 9, 2020",0.382,0.245,-0.435
"May 11, 2020",0.433,0.263,-0.557
"May 13, 2020",65.274,0.138,-11.534
"May 14, 2020",0.502,0.196,-0.908
"May 16, 2020",,,
"May 19, 2020",,,
"May 21, 2020",1.186,0.283,0.002
"May 26, 2020",297.5,0.35,-350
"May 28, 2020",,,
"May 29, 2020",,,
"May 31, 2020",0.366,0.256,0.057
"Jun 2, 2020",164.828,0.334,-273.594
"Jun 3, 2020",,,
"Jun 8, 2020",0.419,0.131,0.026
"Jun 10, 2020",0.512,0.227,0.028
"Jun 12, 2020",0.49,0.328,0.09
