system:time_start,nd_max,nd_mean,nd_min
"Mar 29, 2017",0.778,0.461,-0.04
"Apr 8, 2017",0.725,0.347,-0.397
"Apr 18, 2017",0.51,0.164,-0.271
"Apr 21, 2017",,,
"Apr 21, 2017",,,
"Apr 28, 2017",,,
"Apr 28, 2017",,,
"May 1, 2017",0.827,0.418,-0.359
"May 1, 2017",0.822,0.418,-0.34
"May 8, 2017",0.518,0.22,-0.36
"May 8, 2017",0.526,0.221,-0.343
"May 11, 2017",0.486,0.232,-0.254
"May 11, 2017",0.498,0.233,-0.211
"May 21, 2017",0.429,0.184,-0.349
"May 21, 2017",0.438,0.184,-0.326
"May 28, 2017",0.438,0.254,-0.24
"May 28, 2017",0.43,0.254,-0.228
"Jun 7, 2017",0.409,0.161,-0.167
"Jun 7, 2017",0.417,0.162,-0.156
"Jun 10, 2017",,,
"Jun 10, 2017",,,
"Jun 17, 2017",,,
"Jun 17, 2017",,,
"Jun 27, 2017",0.591,0.41,0.008
"Jun 30, 2017",0.641,0.373,-0.228
"Jun 30, 2017",0.637,0.373,-0.229
"Jul 7, 2017",0.552,0.306,-0.208
"Jul 7, 2017",0.559,0.309,-0.133
"Jul 10, 2017",,,
"Jul 10, 2017",,,
"Jul 30, 2017",0.63,0.398,-0.287
"Jul 30, 2017",0.638,0.398,-0.246
"Aug 6, 2017",,,
"Aug 6, 2017",,,
"Aug 9, 2017",0.657,0.376,-0.515
"Aug 9, 2017",0.655,0.377,-0.56
"Aug 16, 2017",,,
"Aug 16, 2017",,,
"Aug 26, 2017",,,
"Aug 26, 2017",,,
"Sep 5, 2017",0.603,0.413,-0.26
"Sep 5, 2017",0.594,0.413,-0.262
"Oct 18, 2017",,,
"Oct 18, 2017",,,
"Oct 25, 2017",,,
"Nov 7, 2017",0.693,0.431,-0.252
"Nov 7, 2017",0.688,0.429,-0.294
"Nov 14, 2017",0.348,0.178,0.013
"Nov 14, 2017",0.347,0.175,0.012
"Nov 17, 2017",,,
"Nov 17, 2017",,,
"Jan 23, 2018",0.698,0.522,0.317
"Jan 23, 2018",0.69,0.521,0.319
"Jan 28, 2018",,,
"Feb 5, 2018",0.998,0.841,0.485
"Feb 7, 2018",,,
"Feb 7, 2018",,,
"Feb 17, 2018",,,
"Feb 17, 2018",,,
"Feb 20, 2018",0.896,0.749,0.354
"Feb 20, 2018",0.909,0.751,0.317
"Feb 22, 2018",0.885,0.719,0.245
"Feb 27, 2018",0.822,0.626,0.096
"Mar 4, 2018",0.868,0.63,0.374
"Mar 4, 2018",0.865,0.656,0.439
"Mar 7, 2018",,,
"Mar 7, 2018",,,
"Mar 17, 2018",0.865,0.597,0.39
"Mar 17, 2018",0.866,0.59,0.391
"Mar 27, 2018",0.875,0.606,0.242
"Mar 27, 2018",0.876,0.607,0.231
"Mar 29, 2018",,,
"Mar 29, 2018",,,
"Apr 1, 2018",0.933,0.605,0.169
"Apr 1, 2018",0.932,0.606,0.221
"Apr 3, 2018",0.865,0.654,0.241
"Apr 3, 2018",0.862,0.657,0.206
"Apr 8, 2018",0.93,0.548,0.249
"Apr 8, 2018",0.928,0.549,0.266
"Apr 11, 2018",0.952,0.6,0.175
"Apr 11, 2018",0.952,0.601,0.201
"Apr 13, 2018",0.947,0.589,0.047
"Apr 13, 2018",0.949,0.59,0.02
"Apr 18, 2018",0.893,0.522,-0.191
"Apr 18, 2018",0.886,0.522,-0.256
"Apr 21, 2018",0.629,0.173,-0.073
"Apr 21, 2018",0.603,0.173,-0.076
"Apr 23, 2018",0.78,0.36,-0.319
"Apr 23, 2018",0.755,0.359,-0.297
"Apr 28, 2018",0.746,0.255,-0.291
"Apr 28, 2018",0.714,0.25,-0.346
"May 6, 2018",0.459,0.182,-0.391
"May 6, 2018",0.434,0.182,-0.385
"May 8, 2018",0.427,0.2,-0.329
"May 8, 2018",0.445,0.201,-0.326
"May 11, 2018",0.401,0.183,-0.256
"May 11, 2018",0.394,0.184,-0.265
"May 13, 2018",0.415,0.203,-0.31
"May 13, 2018",0.413,0.203,-0.324
"May 16, 2018",,,
"May 16, 2018",,,
