system:time_start,nd_max,nd_mean,nd_min
"Mar 29, 2017",0.542,0.186,-0.124
"Mar 29, 2017",0.569,0.183,-0.103
"Apr 18, 2017",0.539,0.195,-0.303
"Apr 18, 2017",0.546,0.195,-0.293
"Apr 21, 2017",0.576,0.223,-0.245
"Apr 21, 2017",0.563,0.224,-0.245
"Apr 28, 2017",0.525,0.206,-0.311
"Apr 28, 2017",0.526,0.206,-0.261
"May 1, 2017",0.532,0.209,-0.239
"May 1, 2017",0.529,0.209,-0.242
"May 8, 2017",,,
"May 8, 2017",,,
"May 11, 2017",0.5,0.255,-0.138
"May 11, 2017",0.498,0.256,-0.106
"May 21, 2017",0.446,0.098,-0.363
"May 21, 2017",0.43,0.098,-0.358
"May 28, 2017",0.414,0.115,-0.379
"May 28, 2017",0.425,0.115,-0.369
"Jun 7, 2017",0.444,0.178,-0.311
"Jun 7, 2017",0.446,0.178,-0.322
"Jun 10, 2017",0.443,0.212,-0.333
"Jun 10, 2017",0.486,0.208,-0.358
"Jun 17, 2017",,,
"Jun 20, 2017",,,
"Jun 27, 2017",,,
"Jun 30, 2017",,,
"Jun 30, 2017",,,
"Jul 7, 2017",0.589,0.324,-0.271
"Jul 7, 2017",0.612,0.325,-0.267
"Jul 10, 2017",0.462,0.216,-0.015
"Jul 10, 2017",0.471,0.22,-0
"Jul 17, 2017",,,
"Jul 20, 2017",0.473,0.16,-0.085
"Jul 20, 2017",0.423,0.166,-0.091
"Jul 30, 2017",0.635,0.338,-0.285
"Jul 30, 2017",0.635,0.339,-0.271
"Aug 6, 2017",0.694,0.338,-0.042
"Aug 6, 2017",,,
"Aug 9, 2017",,,
"Aug 9, 2017",,,
"Aug 16, 2017",,,
"Aug 16, 2017",,,
"Aug 26, 2017",,,
"Aug 26, 2017",,,
"Sep 5, 2017",0.537,0.203,-0.154
"Sep 5, 2017",0.528,0.202,-0.173
"Sep 15, 2017",0.52,0.225,-0.07
"Sep 15, 2017",0.524,0.223,-0.105
"Oct 18, 2017",,,
"Oct 18, 2017",,,
"Nov 7, 2017",0.245,0.073,-0.087
"Nov 7, 2017",0.242,0.08,-0.102
"Nov 14, 2017",0.4,0.2,-0.054
"Nov 14, 2017",0.405,0.199,-0.056
"Nov 17, 2017",0.408,0.241,0.019
"Nov 17, 2017",0.417,0.242,0.035
"Nov 24, 2017",0.995,0.532,-0.565
"Nov 24, 2017",0.994,0.527,-0.593
"Jan 23, 2018",0.728,0.518,0.329
"Jan 23, 2018",0.73,0.512,0.312
"Jan 26, 2018",,,
"Jan 26, 2018",,,
"Jan 31, 2018",,,
"Jan 31, 2018",,,
"Feb 5, 2018",0.989,0.715,-0.394
"Feb 5, 2018",0.993,0.719,0.082
"Feb 7, 2018",,,
"Feb 17, 2018",,,
"Feb 17, 2018",,,
"Feb 20, 2018",0.919,0.692,0.225
"Feb 20, 2018",0.925,0.694,0.179
"Feb 22, 2018",0.919,0.649,-0.119
"Feb 22, 2018",0.923,0.654,0.02
"Feb 27, 2018",0.847,0.605,0.155
"Feb 27, 2018",0.849,0.609,0.162
"Mar 4, 2018",0.887,0.601,0.141
"Mar 4, 2018",0.888,0.605,0.125
"Mar 7, 2018",0.907,0.594,0.124
"Mar 7, 2018",0.893,0.612,0.155
"Mar 17, 2018",0.874,0.601,0.185
"Mar 17, 2018",0.873,0.602,0.168
"Mar 27, 2018",0.838,0.35,0.018
"Mar 27, 2018",0.833,0.296,-0.087
"Mar 29, 2018",0.789,0.539,0.222
"Mar 29, 2018",0.805,0.543,0.208
"Apr 1, 2018",0.889,0.536,0.112
"Apr 1, 2018",0.874,0.542,0.147
"Apr 3, 2018",0.868,0.452,-0.122
"Apr 3, 2018",0.863,0.45,-0.129
"Apr 8, 2018",0.794,0.511,0.174
"Apr 8, 2018",0.796,0.509,0.157
"Apr 11, 2018",0.881,0.568,0.176
"Apr 11, 2018",0.873,0.567,0.184
"Apr 13, 2018",0.874,0.486,0.011
"Apr 13, 2018",0.872,0.486,0.04
"Apr 18, 2018",0.696,0.264,-0.199
"Apr 18, 2018",0.672,0.262,-0.204
"Apr 21, 2018",0.554,0.169,-0.459
"Apr 21, 2018",0.54,0.169,-0.446
"Apr 23, 2018",0.202,0.086,-0.074
"Apr 23, 2018",0.197,0.086,-0.077
"Apr 26, 2018",0.268,0.1,-0.029
"Apr 26, 2018",0.264,0.1,-0.053
"Apr 28, 2018",,,
"Apr 28, 2018",,,
"May 6, 2018",0.409,0.129,-0.294
"May 6, 2018",0.4,0.13,-0.242
"May 8, 2018",0.421,0.129,-0.324
"May 8, 2018",0.429,0.129,-0.336
"May 11, 2018",0.431,0.125,-0.355
"May 11, 2018",0.431,0.126,-0.38
"May 13, 2018",,,
"May 13, 2018",,,
"May 16, 2018",0.596,0.122,-0.358
"May 16, 2018",0.611,0.122,-0.34
"May 18, 2018",0.388,0.097,-0.186
"May 18, 2018",0.391,0.09,-0.215
"May 21, 2018",0.495,0.208,-0.324
"May 21, 2018",0.482,0.209,-0.33
"May 23, 2018",0.469,0.215,-0.293
"May 23, 2018",0.475,0.215,-0.279
"May 26, 2018",0.53,0.244,-0.322
"May 26, 2018",0.525,0.245,-0.32
"May 31, 2018",0.582,0.281,-0.307
"May 31, 2018",0.579,0.281,-0.276
"Jun 2, 2018",0.717,0.52,0.098
"Jun 2, 2018",0.723,0.519,0.084
"Jun 7, 2018",0.544,0.302,-0.188
"Jun 7, 2018",0.547,0.302,-0.197
"Jun 10, 2018",0.662,0.216,-0.301
"Jun 10, 2018",0.661,0.217,-0.298
"Jun 12, 2018",0.557,0.294,-0.245
"Jun 12, 2018",0.563,0.294,-0.246
"Jun 17, 2018",0.771,0.318,-0.491
"Jun 17, 2018",0.767,0.317,-0.485
"Jun 20, 2018",,,
"Jun 20, 2018",,,
"Jun 27, 2018",0.549,0.155,-0.136
"Jun 27, 2018",0.557,0.155,-0.159
"Jun 30, 2018",0.728,0.425,-0.511
"Jun 30, 2018",0.733,0.425,-0.519
"Jul 5, 2018",0.576,0.317,-0.032
"Jul 5, 2018",0.579,0.317,-0.029
"Jul 7, 2018",0.541,0.316,-0.241
"Jul 7, 2018",0.538,0.316,-0.225
"Jul 15, 2018",0.551,0.313,-0.228
"Jul 15, 2018",0.548,0.313,-0.245
"Jul 17, 2018",0.536,0.293,-0.221
"Jul 17, 2018",0.527,0.292,-0.22
"Jul 20, 2018",,,
"Jul 22, 2018",0.534,0.326,-0.122
"Jul 22, 2018",0.539,0.327,-0.147
"Jul 25, 2018",0.519,0.238,-0.251
"Jul 25, 2018",0.509,0.238,-0.273
"Jul 27, 2018",0.527,0.278,-0.266
"Jul 27, 2018",0.501,0.279,-0.275
"Jul 30, 2018",,,
"Jul 30, 2018",,,
"Aug 1, 2018",0.611,0.328,-0.224
"Aug 1, 2018",0.606,0.328,-0.221
"Aug 11, 2018",0.548,0.316,-0.279
"Aug 11, 2018",0.54,0.316,-0.246
"Aug 14, 2018",,,
"Aug 14, 2018",,,
"Aug 16, 2018",0.774,0.316,-0.087
"Aug 16, 2018",0.788,0.313,-0.095
"Aug 19, 2018",0.606,0.34,-0.178
"Aug 19, 2018",0.599,0.34,-0.179
"Aug 21, 2018",0.597,0.297,-0.318
"Aug 21, 2018",0.61,0.295,-0.278
"Aug 24, 2018",0.203,0.178,0.162
"Aug 24, 2018",,,
"Aug 29, 2018",0.572,0.324,-0.25
"Aug 29, 2018",0.586,0.325,-0.243
"Sep 3, 2018",0.584,0.326,-0.258
"Sep 3, 2018",0.581,0.326,-0.267
"Sep 8, 2018",0.305,0.194,0.099
"Sep 8, 2018",0.307,0.195,0.095
"Sep 13, 2018",0.565,0.184,-0.413
"Sep 13, 2018",0.534,0.178,-0.395
"Sep 20, 2018",0.5,0.32,0.053
"Sep 20, 2018",0.495,0.321,0.057
"Sep 23, 2018",0.542,0.345,-0.113
"Sep 23, 2018",0.544,0.345,-0.115
"Sep 25, 2018",0.646,0.348,-0.412
"Sep 25, 2018",0.625,0.348,-0.407
"Sep 28, 2018",0.665,0.353,-0.299
"Sep 28, 2018",0.632,0.354,-0.382
"Oct 10, 2018",0.624,0.306,-0.401
"Oct 10, 2018",0.638,0.306,-0.347
"Oct 15, 2018",0.641,0.306,-0.399
"Oct 15, 2018",0.659,0.307,-0.348
"Oct 25, 2018",0.387,0.165,-0.031
"Oct 25, 2018",0.362,0.167,-0.039
"Oct 28, 2018",0.719,0.356,-0.374
"Oct 28, 2018",0.739,0.356,-0.356
"Nov 4, 2018",0.581,0.095,-0.329
"Nov 4, 2018",0.549,0.095,-0.317
"Nov 14, 2018",,,
"Nov 17, 2018",0.727,0.339,-0.186
"Nov 17, 2018",0.691,0.339,-0.173
"Nov 24, 2018",0.871,0.496,-0.168
"Nov 24, 2018",0.878,0.496,-0.18
"Jan 18, 2019",0.921,0.736,0.409
"Jan 18, 2019",0.92,0.737,0.405
"Jan 21, 2019",0.999,0.857,0.626
"Jan 21, 2019",0.999,0.856,0.618
"Jan 26, 2019",,,
"Jan 26, 2019",,,
"Feb 12, 2019",0.937,0.68,0.167
"Feb 12, 2019",0.939,0.679,0.086
"Feb 17, 2019",0.966,0.567,0.138
"Feb 17, 2019",0.966,0.566,0.146
"Feb 22, 2019",0.917,0.615,0.189
"Feb 22, 2019",0.914,0.614,0.222
"Feb 25, 2019",0.977,0.574,0.145
"Feb 25, 2019",0.971,0.573,0.181
"Mar 2, 2019",,,
"Mar 2, 2019",,,
"Mar 9, 2019",,,
"Mar 9, 2019",,,
"Mar 19, 2019",,,
"Mar 19, 2019",,,
"Mar 22, 2019",0.966,0.601,0.222
"Mar 22, 2019",0.964,0.601,0.22
"Mar 24, 2019",0.928,0.564,0.214
"Mar 24, 2019",0.929,0.564,0.235
"Mar 27, 2019",,,
"Mar 27, 2019",,,
"Mar 29, 2019",0.935,0.544,0.181
"Mar 29, 2019",0.935,0.544,0.184
"Apr 1, 2019",0.924,0.554,0.174
"Apr 1, 2019",0.93,0.554,0.205
"Apr 3, 2019",0.903,0.515,0.088
"Apr 3, 2019",0.895,0.516,0.078
"Apr 6, 2019",0.842,0.466,-0.04
"Apr 6, 2019",0.851,0.466,-0.04
"Apr 11, 2019",0.782,0.455,0.008
"Apr 11, 2019",0.786,0.456,-0.003
"Apr 16, 2019",0.751,0.308,-0.224
"Apr 16, 2019",0.763,0.308,-0.226
"Apr 18, 2019",0.686,0.242,-0.244
"Apr 18, 2019",0.683,0.242,-0.231
"Apr 21, 2019",0.621,0.2,-0.313
"Apr 21, 2019",0.634,0.2,-0.307
"Apr 23, 2019",0.537,0.143,-0.319
"Apr 23, 2019",0.53,0.143,-0.3
"Apr 28, 2019",0.457,0.146,-0.347
"Apr 28, 2019",0.467,0.147,-0.361
"May 1, 2019",0.53,0.15,-0.314
"May 1, 2019",0.529,0.149,-0.304
"May 6, 2019",0.527,0.184,-0.3
"May 6, 2019",0.515,0.184,-0.329
"May 8, 2019",0.683,0.126,-0.628
"May 8, 2019",0.642,0.133,-0.485
"May 13, 2019",,,
"May 13, 2019",,,
"May 16, 2019",0.445,0.145,-0.304
"May 16, 2019",0.462,0.145,-0.317
"May 18, 2019",0.4,0.123,-0.321
"May 18, 2019",0.398,0.122,-0.328
"May 21, 2019",,,
"May 21, 2019",,,
"May 28, 2019",,,
"May 31, 2019",0.531,0.278,-0.239
"May 31, 2019",0.536,0.278,-0.238
"Jun 2, 2019",,,
"Jun 2, 2019",,,
"Jun 5, 2019",0.188,0.108,0.07
"Jun 5, 2019",0.182,0.123,0.08
