system:time_start,nd_max,nd_mean,nd_min
"Apr 10, 2017",0.578,0.223,-0.107
"Apr 10, 2017",0.567,0.221,-0.098
"Apr 27, 2017",0.552,0.271,-0.133
"Apr 27, 2017",0.538,0.26,-0.13
"Apr 30, 2017",0.548,0.367,-0.117
"Apr 30, 2017",0.548,0.365,-0.119
"May 7, 2017",,,
"May 7, 2017",,,
"May 27, 2017",0.514,0.335,-0.233
"May 27, 2017",0.515,0.334,-0.235
"Jun 6, 2017",,,
"Jun 6, 2017",,,
"Jun 9, 2017",0.577,0.418,-0.172
"Jun 16, 2017",0.585,0.277,-0.066
"Jun 19, 2017",0.738,0.379,-0.094
"Jun 19, 2017",0.739,0.377,-0.095
"Jun 26, 2017",,,
"Jul 6, 2017",0.589,0.438,-0.282
"Jul 6, 2017",0.588,0.44,-0.254
"Jul 9, 2017",,,
"Jul 9, 2017",,,
"Jul 19, 2017",,,
"Jul 19, 2017",,,
"Aug 5, 2017",,,
"Aug 5, 2017",,,
"Aug 8, 2017",0.645,0.364,-0.283
"Aug 8, 2017",0.635,0.352,-0.297
"Aug 15, 2017",0.747,0.39,-0.443
"Aug 15, 2017",0.754,0.35,-0.501
"Aug 25, 2017",0.759,0.591,-0.183
"Aug 25, 2017",0.763,0.591,-0.215
"Sep 14, 2017",,,
"Sep 17, 2017",0.815,0.375,-0.297
"Sep 17, 2017",0.815,0.368,-0.313
"Sep 24, 2017",0.587,0.365,-0.271
"Sep 24, 2017",0.584,0.361,-0.273
"Sep 27, 2017",0.662,0.488,-0.358
"Oct 17, 2017",0.482,0.332,-0.031
"Oct 17, 2017",0.473,0.319,-0.05
"Nov 3, 2017",0.287,0.109,-0.052
"Nov 6, 2017",0.713,0.372,-0.135
"Nov 6, 2017",0.716,0.371,-0.146
"Nov 13, 2017",0.777,0.576,-0.471
"Nov 13, 2017",0.778,0.575,-0.515
"Nov 16, 2017",,,
"Nov 26, 2017",,,
"Dec 3, 2017",,,
"Dec 16, 2017",0.778,0.306,-0.111
"Dec 16, 2017",0.772,0.288,-0.12
"Dec 18, 2017",0.952,0.477,-0.192
"Dec 21, 2017",0.767,0.309,-0.234
"Dec 21, 2017",0.767,0.297,-0.256
"Jan 2, 2018",,,
"Jan 2, 2018",,,
"Jan 5, 2018",0.559,0.134,-0.198
"Jan 5, 2018",0.555,0.127,-0.21
"Jan 7, 2018",0.993,0.717,-0.189
"Jan 7, 2018",0.993,0.715,-0.193
"Jan 17, 2018",,,
"Jan 25, 2018",,,
"Jan 27, 2018",0.761,0.534,-0.284
"Jan 27, 2018",0.76,0.533,-0.285
"Jan 30, 2018",,,
"Feb 4, 2018",0.352,0.212,0.065
"Feb 6, 2018",0.918,0.72,0.212
"Feb 9, 2018",0.892,0.616,0.194
"Feb 9, 2018",0.891,0.612,0.182
"Feb 14, 2018",0.851,0.502,-0.053
"Feb 21, 2018",,,
"Feb 24, 2018",0.785,0.548,-0.044
"Feb 24, 2018",0.786,0.546,-0.052
"Feb 26, 2018",0.773,0.528,-0.167
"Feb 26, 2018",0.773,0.527,-0.169
"Mar 1, 2018",0.794,0.537,-0.006
"Mar 1, 2018",0.795,0.534,-0.01
