system:time_start,nd_max,nd_mean,nd_min
"Apr 27, 2017",0.585,0.381,0.074
"Apr 27, 2017",0.617,0.387,0.157
"May 4, 2017",0.53,0.276,-0.199
"May 4, 2017",0.549,0.277,-0.225
"May 7, 2017",,,
"May 24, 2017",0.494,0.262,-0.156
"May 24, 2017",0.487,0.262,-0.161
"May 27, 2017",0.523,0.313,-0.089
"May 27, 2017",0.518,0.313,-0.134
"Jun 3, 2017",0.358,0.225,0.12
"Jun 6, 2017",,,
"Jun 6, 2017",,,
"Jun 23, 2017",0.712,0.259,-0.164
"Jun 23, 2017",0.73,0.263,-0.173
"Jun 26, 2017",0.601,0.415,0.099
"Jun 26, 2017",0.609,0.418,0.113
"Jul 3, 2017",0.517,0.138,-0.101
"Jul 3, 2017",0.548,0.155,-0.12
"Jul 6, 2017",0.604,0.403,0.025
"Jul 6, 2017",0.607,0.403,0.056
"Jul 13, 2017",,,
"Jul 13, 2017",,,
"Jul 23, 2017",0.751,0.287,0.041
"Jul 23, 2017",0.757,0.296,0.052
"Aug 2, 2017",,,
"Aug 2, 2017",,,
"Aug 5, 2017",,,
"Aug 22, 2017",,,
"Aug 22, 2017",,,
"Aug 25, 2017",,,
"Aug 25, 2017",,,
"Sep 1, 2017",0.637,0.384,-0.073
"Sep 1, 2017",0.635,0.385,-0.082
"Sep 11, 2017",0.637,0.419,-0.189
"Sep 11, 2017",0.641,0.419,-0.133
"Sep 21, 2017",0.697,0.451,-0.128
"Sep 21, 2017",0.713,0.452,-0.176
"Sep 24, 2017",,,
"Sep 24, 2017",,,
"Oct 1, 2017",,,
"Oct 1, 2017",,,
"Oct 4, 2017",0.661,0.386,0.015
"Oct 4, 2017",0.669,0.386,-0.018
"Oct 11, 2017",,,
"Oct 11, 2017",,,
"Oct 14, 2017",0.73,0.482,-0.155
"Oct 14, 2017",0.735,0.482,-0.164
"Oct 21, 2017",0.736,0.43,-0.313
"Oct 21, 2017",0.716,0.429,-0.31
"Oct 31, 2017",0.73,0.441,-0.209
"Oct 31, 2017",0.721,0.441,-0.261
"Nov 3, 2017",0.793,0.466,-0.29
"Nov 3, 2017",0.766,0.466,-0.29
"Nov 10, 2017",0.582,0.24,-0.182
"Nov 10, 2017",0.595,0.269,-0.172
"Nov 13, 2017",0.895,0.518,-0.095
"Nov 13, 2017",0.919,0.517,-0.061
"Nov 20, 2017",,,
"Nov 20, 2017",,,
"Nov 30, 2017",0.316,0.18,0.072
"Nov 30, 2017",0.327,0.185,0.082
"Jan 19, 2018",0.667,0.411,0.244
"Jan 19, 2018",0.668,0.42,0.244
"Jan 27, 2018",0.956,0.537,-0.136
"Jan 27, 2018",0.976,0.538,-0.072
"Feb 21, 2018",,,
"Feb 21, 2018",,,
"Feb 23, 2018",,,
"Feb 26, 2018",0.634,0.554,0.449
"Feb 26, 2018",0.656,0.583,0.481
"Feb 28, 2018",0.831,0.646,0.211
"Feb 28, 2018",0.837,0.678,0.363
"Mar 15, 2018",0.735,0.432,0.084
"Mar 15, 2018",0.747,0.446,0.084
"Mar 18, 2018",0.838,0.528,0.058
"Mar 18, 2018",0.841,0.535,0.107
"Mar 20, 2018",0.809,0.502,0.128
"Mar 20, 2018",0.803,0.512,0.157
"Mar 23, 2018",,,
"Mar 25, 2018",0.922,0.492,0.07
"Mar 25, 2018",0.924,0.496,0.108
"Mar 28, 2018",0.906,0.549,0.184
"Mar 28, 2018",0.893,0.553,0.207
"Mar 30, 2018",0.905,0.53,0.153
"Mar 30, 2018",0.897,0.534,0.195
"Apr 2, 2018",0.908,0.547,0.224
"Apr 12, 2018",0.819,0.46,0.033
"Apr 12, 2018",0.808,0.462,0.005
"Apr 14, 2018",0.716,0.382,-0.078
"Apr 14, 2018",0.682,0.384,-0.079
"Apr 17, 2018",0.552,0.333,-0.16
"Apr 17, 2018",0.569,0.333,-0.17
"Apr 19, 2018",0.511,0.291,-0.152
"Apr 19, 2018",0.516,0.291,-0.16
"Apr 22, 2018",0.211,0.037,-0.136
"Apr 22, 2018",0.211,0.038,-0.127
"Apr 24, 2018",0.512,0.218,-0.294
"Apr 27, 2018",,,
"Apr 27, 2018",,,
"May 4, 2018",,,
"May 4, 2018",,,
"May 7, 2018",0.48,0.26,-0.324
"May 7, 2018",0.498,0.26,-0.297
"May 9, 2018",0.448,0.246,-0.279
"May 9, 2018",0.455,0.246,-0.246
"May 12, 2018",0.48,0.301,-0.086
"May 12, 2018",0.475,0.302,-0.099
"May 14, 2018",0.459,0.274,-0.206
"May 14, 2018",0.466,0.274,-0.112
"May 17, 2018",0.491,0.31,-0.195
"May 17, 2018",0.501,0.31,-0.127
"May 19, 2018",0.454,0.291,-0.174
"May 19, 2018",0.459,0.291,-0.059
"May 22, 2018",0.534,0.341,-0.026
"May 22, 2018",0.53,0.341,-0.162
"May 24, 2018",0.509,0.305,-0.116
"May 24, 2018",0.509,0.306,-0.061
"May 29, 2018",0.507,0.303,-0.036
"May 29, 2018",0.508,0.303,-0.088
"Jun 1, 2018",0.542,0.336,-0.028
"Jun 1, 2018",0.584,0.336,-0.024
"Jun 3, 2018",0.527,0.308,-0.166
"Jun 3, 2018",0.515,0.308,-0.052
"Jun 8, 2018",0.698,0.264,-0.321
"Jun 8, 2018",0.716,0.265,-0.385
"Jun 11, 2018",,,
"Jun 16, 2018",,,
"Jun 16, 2018",,,
"Jun 18, 2018",,,
"Jun 21, 2018",,,
"Jun 26, 2018",0.539,0.39,0.173
"Jun 28, 2018",,,
"Jun 28, 2018",,,
"Jun 28, 2018",,,
"Jun 28, 2018",,,
"Jul 1, 2018",0.713,0.411,-0.08
"Jul 1, 2018",0.704,0.413,-0.117
"Jul 6, 2018",0.57,0.364,-0.027
"Jul 6, 2018",0.576,0.365,-0.052
"Jul 8, 2018",0.533,0.342,0.024
"Jul 8, 2018",0.531,0.342,-0.066
"Jul 11, 2018",,,
"Jul 11, 2018",,,
"Jul 13, 2018",0.48,0.228,-0.099
"Jul 13, 2018",0.471,0.26,-0.079
"Jul 16, 2018",0.57,0.359,0.017
"Jul 16, 2018",0.564,0.359,-0.031
"Jul 18, 2018",0.575,0.314,-0.112
"Jul 18, 2018",0.577,0.316,-0.107
"Jul 23, 2018",0.664,0.314,-0.321
"Jul 23, 2018",0.665,0.317,-0.367
"Jul 26, 2018",0.554,0.356,0.008
"Jul 26, 2018",0.546,0.356,0.024
