system:time_start,nd_max,nd_mean,nd_min
"Mar 31, 2017",0.95,0.569,-0.02
"Apr 17, 2017",,,
"Apr 24, 2017",0.892,0.465,-0.198
"May 4, 2017",0.496,0.211,0.078
"May 10, 2017",,,
"May 24, 2017",0.557,0,-0.996
"May 30, 2017",0.465,0.079,-0.982
"Jun 3, 2017",0.564,0.06,-0.993
"Jun 6, 2017",,,
"Jun 13, 2017",0.603,0.112,-0.994
"Jun 16, 2017",,,
"Jun 19, 2017",,,
"Jun 23, 2017",0.65,0.159,-0.996
"Jun 26, 2017",,,
"Jun 29, 2017",0.627,0.171,-0.656
"Jul 6, 2017",0.644,0.285,-0.561
"Jul 9, 2017",,,
"Jul 13, 2017",,,
"Jul 26, 2017",0.621,0.223,-0.286
"Jul 29, 2017",0.787,0.232,-0.993
"Aug 5, 2017",0.69,0.268,-0.599
"Aug 8, 2017",,,
"Aug 12, 2017",0.686,0.262,-0.979
"Aug 15, 2017",0.657,0.205,-0.995
"Aug 22, 2017",,,
"Aug 25, 2017",,,
"Sep 1, 2017",0.661,0.289,-0.988
"Sep 7, 2017",0.224,0.131,0.032
"Sep 11, 2017",,,
"Oct 17, 2017",,,
"Oct 21, 2017",0.606,0.23,-0.972
"Oct 24, 2017",,,
"Oct 31, 2017",0.893,0.514,-0.535
"Nov 3, 2017",0.984,0.489,-0.951
"Nov 6, 2017",0.996,0.647,-0.947
"Nov 10, 2017",0.99,0.453,-0.988
"Feb 3, 2018",0.799,0.534,0.226
"Feb 4, 2018",0.715,0.392,0.103
"Feb 6, 2018",0.998,0.79,-0.149
"Feb 8, 2018",0.998,0.822,0.351
"Feb 14, 2018",,,
"Feb 19, 2018",,,
"Feb 21, 2018",0.918,0.671,0.11
"Feb 23, 2018",0.671,0.449,0.309
"Feb 24, 2018",0.854,0.586,-0.973
"Feb 28, 2018",0.869,0.57,-0.982
"Mar 1, 2018",0.894,0.584,-0.986
"Mar 8, 2018",0.795,0.607,0.276
"Mar 11, 2018",0.879,0.625,0.16
"Mar 15, 2018",0.886,0.591,-0.987
"Mar 16, 2018",0.896,0.608,-0.985
"Mar 21, 2018",0.923,0.585,0.139
"Mar 23, 2018",0.961,0.636,-0.742
"Mar 25, 2018",0.751,0.576,0.353
"Mar 26, 2018",0.882,0.636,-0.986
"Mar 30, 2018",0.913,0.571,-0.992
"Mar 31, 2018",0.916,0.617,0.15
"Apr 9, 2018",,,
"Apr 10, 2018",0.909,0.594,-0.411
"Apr 12, 2018",,,
"Apr 14, 2018",0.938,0.612,0.161
"Apr 15, 2018",0.968,0.616,-0.003
"Apr 17, 2018",0.978,0.637,-0.059
"Apr 19, 2018",0.981,0.592,-0.073
"Apr 22, 2018",0.978,0.593,-0.362
"Apr 25, 2018",0.957,0.501,-0.103
"Apr 27, 2018",,,
"Apr 29, 2018",,,
"Apr 30, 2018",0.776,0.16,-0.48
"May 5, 2018",0.893,0.238,-0.957
"May 9, 2018",0.473,0.092,-0.664
"May 10, 2018",0.557,0.099,-0.755
"May 12, 2018",0.46,0.054,-0.348
"May 14, 2018",0.49,0.087,-0.641
