system:time_start,nd_max,nd_mean,nd_min
"Mar 31, 2017",0.916,0.494,0.134
"Apr 17, 2017",,,
"Apr 24, 2017",0.779,0.354,-0.063
"May 4, 2017",0.908,0.357,0.076
"May 10, 2017",,,
"May 24, 2017",0.434,0.148,-0.061
"May 30, 2017",0.407,0.239,-0.164
"Jun 3, 2017",0.439,0.254,-0.146
"Jun 6, 2017",,,
"Jun 13, 2017",0.441,0.217,-0.065
"Jun 16, 2017",,,
"Jun 19, 2017",0.532,0.261,-0.081
"Jun 23, 2017",0.624,0.331,-0.07
"Jun 26, 2017",,,
"Jun 29, 2017",0.54,0.25,-0.325
"Jul 6, 2017",0.597,0.361,-0.088
"Jul 9, 2017",,,
"Jul 13, 2017",,,
"Jul 26, 2017",0.561,0.215,-0.031
"Jul 29, 2017",,,
"Aug 5, 2017",0.651,0.253,-0.054
"Aug 8, 2017",,,
"Aug 12, 2017",0.526,0.286,-0.126
"Aug 15, 2017",0.562,0.353,-0.069
"Aug 22, 2017",,,
"Aug 25, 2017",0.415,0.37,0.276
"Sep 1, 2017",0.576,0.396,-0.033
"Sep 7, 2017",,,
"Sep 11, 2017",,,
"Oct 17, 2017",0.492,0.456,0.415
"Oct 21, 2017",0.419,0.175,0.002
"Oct 24, 2017",,,
"Oct 31, 2017",0.9,0.51,0.207
"Nov 3, 2017",0.785,0.438,0.248
"Nov 6, 2017",0.896,0.493,0.129
"Nov 10, 2017",0.969,0.517,0.043
"Feb 3, 2018",0.843,0.768,0.646
"Feb 4, 2018",0.919,0.815,0.661
"Feb 6, 2018",0.998,0.916,0.688
"Feb 8, 2018",0.998,0.896,0.634
"Feb 14, 2018",,,
"Feb 19, 2018",,,
"Feb 21, 2018",0.984,0.882,0.585
"Feb 23, 2018",0.796,0.558,0.362
"Feb 24, 2018",0.998,0.857,0.489
"Feb 28, 2018",0.954,0.826,0.467
"Mar 1, 2018",0.972,0.831,0.604
"Mar 8, 2018",0.833,0.722,0.555
"Mar 11, 2018",0.881,0.596,0.076
"Mar 15, 2018",0.913,0.734,0.333
"Mar 16, 2018",0.903,0.704,0.219
"Mar 21, 2018",0.807,0.488,0.216
"Mar 23, 2018",0.866,0.523,0.09
"Mar 25, 2018",0.501,0.326,0.104
"Mar 26, 2018",0.853,0.581,-0.017
"Mar 30, 2018",0.89,0.479,0.037
"Mar 31, 2018",0.885,0.514,0.135
"Apr 9, 2018",,,
"Apr 10, 2018",0.859,0.499,0.113
"Apr 12, 2018",,,
"Apr 14, 2018",0.921,0.483,0.261
"Apr 15, 2018",0.947,0.491,0.133
"Apr 17, 2018",0.958,0.513,0.185
"Apr 19, 2018",0.963,0.496,0.232
"Apr 22, 2018",0.96,0.504,0.155
"Apr 25, 2018",,,
"Apr 27, 2018",0.743,0.272,0.106
"Apr 29, 2018",,,
"Apr 30, 2018",0.944,0.497,0.15
"May 5, 2018",0.875,0.383,0.102
"May 9, 2018",0.645,0.229,-0.07
"May 10, 2018",0.482,0.229,-0.201
"May 12, 2018",,,
"May 14, 2018",0.466,0.183,-0.243
"May 15, 2018",,,
"May 17, 2018",0.367,0.161,-0.077
"May 19, 2018",,,
"May 22, 2018",,,
"May 24, 2018",,,
"May 25, 2018",0.404,0.207,-0.12
"May 29, 2018",0.441,0.23,-0.087
"May 30, 2018",0.4,0.189,0.04
"Jun 1, 2018",,,
"Jun 4, 2018",0.488,0.255,-0.136
"Jun 9, 2018",0.472,0.247,-0.187
"Jun 11, 2018",0.466,0.259,-0.175
"Jun 21, 2018",0.517,0.157,-0.44
